feature,importance
n_medical_services,0.77966195
premium,0.035631973
new_business_flag,0.032586936
age_group,0.027132863
type_product,0.022842214
premium_pctile,0.020863142
gender,0.014037072
new_business,0.008240854
C_C,0.008018693
age,0.007085009
tenure_group,0.0065479814
n_insured_prov,0.005383241
IICIPROV,0.0044089374
type_policy,0.0037175235
seniority_insured,0.0030718227
reimbursement,0.0027163054
n_insured_mun,0.0022996569
seniority_policy,0.002026237
C_H,0.0018451269
IICIMUN,0.0015445306
type_policy_dg,0.0014998121
C_GI,0.0014630688
n_insured_pc,0.0014231014
C_GE_S,0.00085477903
distribution_channel,0.0008114654
C_GE_P,0.000770187
C_IE_T,0.00073281524
C_IE_P,0.0007326061
C_GE_T,0.00070387777
C_IE_S,0.0006760534
C_II,0.0006701441
